"","unit","year","state","unit_fe","mu","year_fe","cohort_year","error","treat","tau","tau_cum","dep_var"
"1",1,1980,2,-1.78567661811493,1,-2.5072764423754,1998,-0.520183337102326,0,0,0,7.18686360240734
"2",1,1981,2,-1.78567661811493,1,-0.6460839896429,1998,0.462293747144309,0,0,0,10.0305331393865
"3",1,1982,2,-1.78567661811493,1,-1.33353674535046,1998,-0.841174714699718,0,0,0,8.03961192183489
"4",1,1983,2,-1.78567661811493,1,-3.28706958727406,1998,1.36600474829446,0,0,0,8.29325854290547
"5",1,1984,2,-1.78567661811493,1,-1.66951756430784,1998,0.444299533722578,0,0,0,8.98910535129981
"6",1,1985,2,-1.78567661811493,1,-0.866457409351456,1998,0.318541649500653,0,0,0,9.66640762203426
"7",1,1986,2,-1.78567661811493,1,-0.696604545465711,1998,-2.11088257995946,0,0,0,7.4068362564599
"8",1,1987,2,-1.78567661811493,1,-0.615766447488347,1998,-0.0676386427155643,0,0,0,9.53091829168115
"9",1,1988,2,-1.78567661811493,1,-2.21622789794721,1998,-0.0728950723381907,0,0,0,7.92520041159967
"10",1,1989,2,-1.78567661811493,1,-1.97625509360274,1998,-0.106084349992338,0,0,0,8.13198393828999
"11",1,1990,2,-1.78567661811493,1,-0.713003702012926,1998,-0.726082175533717,0,0,0,8.77523750433842
"12",1,1991,2,-1.78567661811493,1,-2.48770647404211,1998,-0.882202465198299,0,0,0,6.84441444264465
"13",1,1992,2,-1.78567661811493,1,-1.11494265580642,1998,2.74710811426081,0,0,0,11.8464888403395
"14",1,1993,2,-1.78567661811493,1,-0.167061582908547,1998,1.81526171710983,0,0,0,11.8625235160864
"15",1,1994,2,-1.78567661811493,1,-0.924351027880066,1998,0.344729396557005,0,0,0,9.63470175056201
"16",1,1995,2,-1.78567661811493,1,-1.40879185712477,1998,0.856541103682327,0,0,0,9.66207262844262
"17",1,1996,2,-1.78567661811493,1,-0.864592239724586,1998,-1.39681257548303,0,0,0,7.95291856667745
"18",1,1997,2,-1.78567661811493,1,-0.599413242438046,1998,-0.162539145335244,0,0,0,9.45237099411178
"19",1,1998,2,-1.78567661811493,1,0.898985121328546,1998,0.448051997133513,1,1,1,12.5613605003471
"20",1,1999,2,-1.78567661811493,1,-0.200677585135977,1998,1.82973945219824,1,1,2,13.8433852489473
"21",1,2000,2,-1.78567661811493,1,0.0191269379109457,1998,-0.0955775562630807,1,1,3,13.1378727635329
